
MiRa4215,1,1,12,Summer Sprint Challenge 2023
dasa3717,2,3,128,Aqua Masters Cup
besa4334,3,2,452,Tour de Elite Stage 5
gumi7320,4,5,3220,Endurance Run Series
also7053,1,2,13,Summer Sprint Challenge 2023
anan9626,2,1,115,Aqua Masters Cup
JoDi6423,3,4,478,Tour de Elite Stage 5
DaSa7738,4,3,2987,Endurance Run Series
LuDo1240,1,3,13,Summer Sprint Challenge 2023
EmNi5512,2,2,120,Aqua Masters Cup
SoJo6789,3,1,432,Tour de Elite Stage 5
LaPe2468,4,2,2754,Endurance Run Series
HeLa1357,1,4,14,Winter Speed Fest
NiJe8642,2,5,134,Oceanic Championships
OsHa7531,3,3,460,Spring Cycling Classic
IdAn6420,4,4,3415,Endurance Run Series
MoSø9513,1,1,11,Winter Speed Fest
FrPe3086,2,4,130,Oceanic Championships
ViNg4725,3,5,490,Spring Cycling Classic
AmSm1285,4,1,2589,Mountain Ultra Marathon
JaPa6093,1,2,12,Winter Speed Fest
MaCh2085,2,1,112,Oceanic Championships
ThOl5823,3,2,441,Spring Cycling Classic
KrKn4023,4,6,3650,Mountain Ultra Marathon
LiMo7351,1,5,14,Summer Sprint Challenge 2023
ErSi9142,2,3,125,Aqua Masters Cup
AnPe6251,3,4,467,Tour de Elite Stage 5
OlWi3095,4,7,3782,Mountain Ultra Marathon
EmHa7743,1,1,12,Spring Dash Invitational
NoPe1350,2,2,118,Winter Swim Open
TyHa3263,3,3,48,Playoffs
